year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office,production_budget,,opening_weekend,theatre_count,avg run per theatre,runtime,keywords,creative_type,url
2016,January 8th,Kizumonogatari: I Tekketsu-hen,Action,6324508.00,n/a,6324508.00,,,,,,64,Anime,Contemporary Fiction,https://www.the-numbers.com/movie/Kizumonogatari-I-Tekketsu-hen-(Japan)
2015,January 23rd,Guai Tan,Thriller/Suspense,990000.00,n/a,990000.00,,,,,,89,,Contemporary Fiction,https://www.the-numbers.com/movie/Guai-Tan-(China)(2014)
2016,January 8th,Jinsei no yakusoku,Drama,3409317.00,n/a,3409317.00,,,,,,120,,Contemporary Fiction,https://www.the-numbers.com/movie/Jinsei-no-yakusoku-(Japan)-(2016)
2016,February 12th,Krigen,Drama,145180.00,122902.00,268082.00,,,9095.00,2,3.50,115,Afghanistan War,Historical Fiction,https://www.the-numbers.com/movie/Krigen
2016,July 27th,"Jheronimus Bosch, Touched by the Devil",Documentary,29374.00,172533.00,201907.00,,,12064.00,1,5.40,87,2010s,Factual,https://www.the-numbers.com/movie/Jheronimus-Bosch-Touched-by-the-Devil
2016,January 8th,La fille du patron,,126647.00,n/a,126647.00,,,,,,98,,Contemporary Fiction,https://www.the-numbers.com/movie/fille-du-patron-La-(France)-(2016)
2016,January 8th,Hyakuen no koi,,117642.00,n/a,117642.00,,,,,,113,,,https://www.the-numbers.com/movie/Hyakuen-no-koi-(Japan)-(2014)
2016,January 8th,Ja-ba-ya san-da,,254421.00,n/a,254421.00,,,,,,96,,,https://www.the-numbers.com/movie/Ja-ba-ya-san-da-(South-Korea)-(2016)
2016,January 8th,Comoara,Comedy,20535.00,48508.00,69043.00,,,13624.00,3,2.00,89,Treasure Hunters,Contemporary Fiction,https://www.the-numbers.com/movie/Comoara
2016,January 8th,Golosa Bolshoy Strany,Musical,292208.00,n/a,292208.00,,,,,,89,,Contemporary Fiction,https://www.the-numbers.com/movie/Golosa-Bolshoy-Strany-(Russia)-(2016)
2016,January 8th,Charlie,Drama,46351.00,n/a,46351.00,,,,,,,,Contemporary Fiction,https://www.the-numbers.com/movie/Charlie-(2015)
2016,January 8th,Bolshoi Babylon,Documentary,644896.00,n/a,644896.00,,,,,,,,Factual,https://www.the-numbers.com/movie/Bolshoi-Babylon
2016,January 8th,Camino a La Paz,Drama,17.00,n/a,17.00,,,,,,92,,,https://www.the-numbers.com/movie/Camino-a-La-Paz-(Argentina)-(2016)
